date,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1968-08-01,0.0109,0.0174,0.0155,0.036699999999999997,0.028900000000000002,0.009399999999999999,0.0131,0.022000000000000002,0.0138,0.0139,0.018000000000000002,0.0426,0.028399999999999998,0.018500000000000003,0.0392
1968-09-01,0.0274,0.04,0.0541,0.0553,0.0745,0.0175,0.042699999999999995,0.0489,0.0331,0.0537,0.0546,0.0537,0.057800000000000004,0.0641,0.0848
1968-10-01,0.021,-0.011200000000000002,0.0212,0.0126,-0.0007000000000000001,0.024300000000000002,0.016,-0.009000000000000001,-0.0128,0.0338,0.0022,0.0102,0.016,0.010700000000000001,-0.011699999999999999
1968-11-01,0.0638,0.0537,0.037599999999999995,0.0613,0.0975,0.0688,0.055999999999999994,0.0385,0.0658,0.018000000000000002,0.0678,0.056100000000000004,0.0688,0.08539999999999999,0.1094
1968-12-01,-0.0405,-0.0358,-0.0308,-0.0368,-0.025,-0.0467,-0.030899999999999997,-0.0269,-0.042699999999999995,-0.0296,-0.0327,-0.0408,-0.031200000000000002,-0.028300000000000002,-0.0218
1969-01-01,0.0048,-0.020499999999999997,-0.0051,-0.018500000000000003,-0.0064,0.0092,-0.0019,-0.0072,-0.0311,-0.0039000000000000003,-0.0068000000000000005,-0.0191,-0.0176,-0.0073,-0.005600000000000001
1969-02-01,-0.045899999999999996,-0.036699999999999997,-0.0418,-0.068,-0.10640000000000001,-0.0412,-0.0533,-0.032799999999999996,-0.039900000000000005,-0.032,-0.0562,-0.056600000000000004,-0.0839,-0.0924,-0.1199
1969-03-01,0.027999999999999997,0.0385,0.0378,0.0159,0.029500000000000002,0.031200000000000002,0.022799999999999997,0.0282,0.046799999999999994,0.0366,0.0395,0.0183,0.0125,0.0315,0.0274
1969-04-01,0.0181,0.0317,0.0184,0.0018,0.028999999999999998,0.0233,0.0095,0.0344,0.029500000000000002,0.0192,0.0171,0.0021,0.0015,0.029500000000000002,0.0286
1969-05-01,0.015,-0.0085,0.0109,-0.0089,-0.0052,0.0163,0.0129,-0.0006,-0.0149,0.0176,0.0006,0.0009,-0.0233,0.0105,-0.0208
1969-06-01,-0.06480000000000001,-0.034300000000000004,-0.0639,-0.08259999999999999,-0.1283,-0.06480000000000001,-0.06480000000000001,-0.0575,-0.015600000000000001,-0.0629,-0.0655,-0.07519999999999999,-0.09369999999999999,-0.1092,-0.1478
1969-07-01,-0.0599,-0.055,-0.062400000000000004,-0.08220000000000001,-0.09699999999999999,-0.0575,-0.0632,-0.059000000000000004,-0.046,-0.0525,-0.0745,-0.07339999999999999,-0.09539999999999998,-0.0767,-0.11630000000000001
1969-08-01,0.0326,0.0559,0.052199999999999996,0.060599999999999994,0.0922,0.0292,0.037599999999999995,0.0535,0.061399999999999996,0.056799999999999996,0.0466,0.062,0.0584,0.0872,0.0971
1969-09-01,-0.0412,-0.0177,-0.0055000000000000005,-0.0262,-0.02,-0.049699999999999994,-0.0292,-0.0183,-0.0163,-0.0045000000000000005,-0.0067,-0.0258,-0.0269,-0.0181,-0.022000000000000002
1969-10-01,0.0395,0.050499999999999996,0.0564,0.084,0.0917,0.0304,0.0521,0.0424,0.0688,0.06849999999999999,0.0414,0.0754,0.0974,0.0724,0.1107
