date,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1954-08-01,-0.08259999999999999,-0.0318,-0.029300000000000003,-0.0398,-0.0339,-0.0292,-0.036699999999999997,-0.011899999999999999,-0.0492,-0.0333,-0.0344,-0.018500000000000003,-0.0398,-0.0446,-0.0333,-0.0036,-0.026699999999999998,-0.0434,-0.055
1954-09-01,0.029900000000000003,0.0424,0.0919,0.0801,0.0447,0.0401,0.10640000000000001,0.0824,0.0786,0.057699999999999994,0.0333,0.0285,0.0519,0.0513,0.1304,0.0825,0.08220000000000001,0.0776,0.0795
1954-10-01,-0.0131,-0.027999999999999997,-0.0155,-0.001,-0.0296,-0.022400000000000003,-0.0137,-0.018000000000000002,0.0183,-0.031200000000000002,-0.0282,-0.0181,-0.026600000000000002,-0.0148,-0.013300000000000001,-0.013000000000000001,-0.027000000000000003,0.029900000000000003,0.0066
1954-11-01,0.0919,0.09,0.0683,0.11599999999999999,0.0958,0.0621,0.06309999999999999,0.0824,0.13699999999999998,0.1281,0.067,0.054400000000000004,0.0697,0.09,0.052300000000000006,0.0803,0.0863,0.10890000000000001,0.16620000000000001
1954-12-01,0.1681,0.0253,0.051100000000000007,0.102,0.0246,0.0338,0.0509,0.0726,0.1061,0.032,0.0176,0.029900000000000003,0.0377,0.0443,0.0537,0.06,0.0959,0.10949999999999999,0.1027
1955-01-01,0.121,-0.0028000000000000004,0.0118,0.0195,-0.0012,-0.0059,0.003,0.019799999999999998,0.0434,-0.0137,0.0109,-0.0128,0.0008,0.0036,0.0027,0.04,-0.016,0.0192,0.0674
1955-02-01,0.0434,0.0353,0.0088,0.0301,0.0352,0.0275,0.012,0.0078000000000000005,0.0294,0.037200000000000004,0.0334,0.0359,0.0194,0.035,0.0025,-0.0048,0.0313,0.0331,0.0258
1955-03-01,-0.0151,-0.006,-0.0062,0.0027,-0.0083,-0.005699999999999999,-0.0044,-0.0001,0.0016,0.0034999999999999996,-0.0194,0.0084,-0.0196,0.009399999999999999,-0.0103,-0.0026,0.0043,-0.0072,0.01
1955-04-01,0.022400000000000003,0.04190000000000001,0.029900000000000003,0.0229,0.047599999999999996,0.0143,0.0351,0.0178,0.0302,0.0668,0.029300000000000003,0.0055000000000000005,0.0232,0.044800000000000006,0.0308,0.0213,0.0115,0.0207,0.039
1955-05-01,0.092,0.0197,-0.0028000000000000004,-0.0058,0.0223,-0.0001,0.0014000000000000002,-0.0104,-0.0059,0.0349,0.0098,0.0023,-0.0024,0.0329,-0.0126,-0.013000000000000001,-0.005699999999999999,0.0029,-0.0139
1955-06-01,0.008199999999999999,0.051399999999999994,0.07629999999999999,0.1143,0.055,0.0212,0.0809,0.1084,0.1097,0.0859,0.0236,0.026699999999999998,0.015700000000000002,0.0446,0.0977,0.10099999999999999,0.1216,0.0753,0.1419
1955-07-01,0.0077,-0.0027,0.0275,0.0823,-0.0079,0.0076,0.0359,0.09119999999999999,0.0109,-0.0175,0.0096,0.0103,0.0011,0.006500000000000001,0.0576,0.0269,0.1142,0.0037,0.0236
1955-08-01,-0.0146,0.0072,-0.006999999999999999,-0.0163,0.0126,-0.0054,-0.0113,-0.0191,0.009399999999999999,0.0131,0.011699999999999999,-0.0059,-0.0042,-0.0015,-0.0181,0.0039000000000000003,-0.026699999999999998,-0.004,0.0325
1955-09-01,-0.0275,-0.0138,-0.0168,0.0415,-0.0208,-0.0039000000000000003,-0.0194,0.0424,0.0024,-0.0278,-0.0083,0.0034000000000000002,-0.022099999999999998,-0.0285,-0.0129,-0.003,0.0579,0.0182,-0.023799999999999998
1955-10-01,-0.0334,-0.029300000000000003,-0.0192,-0.032,-0.0316,-0.024700000000000003,-0.017,-0.0344,-0.013300000000000001,-0.033,-0.0291,-0.023799999999999998,-0.0269,-0.026699999999999998,-0.0102,-0.018500000000000003,-0.0395,-0.0106,-0.018000000000000002
1955-11-01,0.0329,0.0593,0.0587,0.071,0.0688,0.0392,0.0641,0.0675,0.0688,0.0724,0.0625,0.0366,0.045899999999999996,0.0467,0.076,0.054000000000000006,0.0719,0.0567,0.08990000000000001
1955-12-01,0.0258,0.0192,0.0192,0.0053,0.0189,0.018600000000000002,0.019799999999999998,-0.0024,0.042800000000000005,0.0281,0.0029,0.0199,0.015300000000000001,0.0204,0.0195,0.021,-0.01,0.039599999999999996,0.0483
1956-01-01,-0.0291,-0.0341,-0.0165,-0.0431,-0.0466,-0.0103,-0.0105,-0.038900000000000004,-0.04190000000000001,-0.049100000000000005,-0.042,-0.0033,-0.028300000000000002,-0.011399999999999999,-0.009899999999999999,-0.0245,-0.0436,-0.0348,-0.054000000000000006
1956-02-01,0.0331,0.0374,0.0368,0.0341,0.046900000000000004,0.0213,0.037599999999999995,0.037000000000000005,0.0248,0.0443,0.0516,0.0151,0.037599999999999995,0.056100000000000004,0.0252,0.0337,0.0381,0.026699999999999998,0.0216
1956-03-01,0.0274,0.0637,0.08380000000000001,0.0548,0.0669,0.054400000000000004,0.0922,0.0616,0.0601,0.0737,0.0547,0.056100000000000004,0.05,0.057999999999999996,0.1158,0.0882,0.0526,0.061200000000000004,0.0582
1956-04-01,-0.0369,-0.0042,0.009899999999999999,0.016200000000000003,-0.0073,0.002,0.0088,0.0037,0.062,-0.0101,-0.0024,0.0036,-0.002,0.0012,0.0138,0.024300000000000002,-0.0034999999999999996,0.0862,0.020099999999999996
1956-05-01,-0.0443,-0.0508,-0.051699999999999996,-0.07150000000000001,-0.0584,-0.0321,-0.0521,-0.0712,-0.0697,-0.0592,-0.056900000000000006,-0.032400000000000005,-0.0316,-0.0364,-0.0623,-0.0681,-0.0723,-0.0672,-0.07440000000000001
1956-06-01,-0.0106,0.0369,0.0252,0.0542,0.0462,0.0212,0.0212,0.048,0.0512,0.056100000000000004,0.028300000000000002,0.0149,0.037599999999999995,0.0346,0.012199999999999999,0.0269,0.0556,0.054400000000000004,0.0451
1956-07-01,-0.0125,0.0425,0.0509,0.08539999999999999,0.0418,0.0437,0.071,0.0527,0.0864,0.0391,0.051500000000000004,0.0443,0.0431,0.0698,0.0721,0.0403,0.0842,0.0984,0.052300000000000006
1956-08-01,-0.024,-0.0393,-0.0373,-0.0118,-0.0449,-0.0333,-0.055099999999999996,-0.0171,-0.0046,-0.0481,-0.0335,-0.025699999999999997,-0.0403,-0.0545,-0.0558,-0.015700000000000002,-0.0204,-0.0151,0.026600000000000002
1956-09-01,-0.006999999999999999,-0.0663,-0.0458,-0.0265,-0.07200000000000001,-0.0516,-0.0552,-0.0321,-0.0203,-0.07690000000000001,-0.055,-0.0527,-0.0506,-0.056299999999999996,-0.0542,-0.031200000000000002,-0.034300000000000004,-0.019299999999999998,-0.0231
1956-10-01,-0.0562,0.0054,0.0015,0.020099999999999996,0.011899999999999999,-0.0032,0.009300000000000001,-0.0027,0.0288,0.014199999999999999,0.004,-0.009899999999999999,0.0031,-0.005,0.023,-0.0076,0.009300000000000001,0.0285,0.0296
1956-11-01,0.0015,-0.0109,-0.0019,0.0155,-0.0172,0.0124,-0.0072,-0.0127,0.0203,-0.0212,-0.0033,0.0040999999999999995,0.02,0.0,-0.0139,-0.0218,0.009300000000000001,0.0271,0.0008
1956-12-01,-0.0735,0.028399999999999998,0.039900000000000005,0.0424,0.0364,0.0255,0.057,0.0294,0.041299999999999996,0.0375,0.0325,0.009899999999999999,0.0397,0.030699999999999998,0.0819,0.0232,0.043899999999999995,0.0412,0.0415
1957-01-01,0.09269999999999999,-0.0327,-0.0395,-0.0697,-0.0451,-0.0166,-0.0327,-0.060899999999999996,-0.0741,-0.052199999999999996,-0.0208,-0.0031,-0.0285,-0.0139,-0.0496,-0.0596,-0.064,-0.0863,-0.0382
1957-02-01,-0.08560000000000001,-0.0124,-0.023399999999999997,-0.051699999999999996,-0.016,-0.0111,-0.0184,-0.0421,-0.048600000000000004,-0.0169,-0.0129,-0.0042,-0.0174,-0.0338,-0.0040999999999999995,-0.0362,-0.0557,-0.0604,-0.015700000000000002
