date,< 0 ,ZERO,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1969-04-01,0.0278,0.009899999999999999,0.0148,0.0379,0.0087,0.0252,0.0089,0.0105,0.0216,0.0438,0.031200000000000002,0.0197,0.0011,0.0358,0.013600000000000001,0.011200000000000002,0.0068000000000000005
1969-05-01,0.0091,0.0039000000000000003,-0.0017000000000000001,0.0048,0.0004,0.005600000000000001,-0.0033,0.0074,-0.0159,0.012,-0.0033,0.0006,0.0002,-0.0017000000000000001,0.0137,0.0128,-0.0187
1969-06-01,-0.066,-0.0712,-0.06570000000000001,-0.0337,-0.0689,-0.08310000000000001,-0.0825,-0.0681,-0.0617,-0.0538,-0.010700000000000001,-0.0748,-0.0647,-0.0678,-0.1,-0.061799999999999994,-0.10300000000000001
1969-07-01,-0.0655,-0.058899999999999994,-0.0564,-0.0513,-0.0617,-0.0851,-0.09,-0.0564,-0.056299999999999996,-0.0434,-0.0548,-0.0729,-0.0558,-0.0801,-0.09,-0.0836,-0.0966
1969-08-01,0.0471,0.0215,0.0385,0.061799999999999994,0.045700000000000005,0.064,0.0919,0.0336,0.0475,0.0441,0.0698,0.0537,0.0416,0.063,0.0649,0.08449999999999999,0.09970000000000001
1969-09-01,-0.0345,-0.016399999999999998,-0.024900000000000002,-0.0066,-0.0226,-0.0401,-0.037599999999999995,-0.0275,-0.020099999999999996,0.0111,-0.0144,-0.018799999999999997,-0.024700000000000003,-0.0191,-0.0611,-0.016200000000000003,-0.059800000000000006
1969-10-01,0.0473,0.060599999999999994,0.0409,0.060899999999999996,0.0601,0.0646,0.0727,0.041299999999999996,0.04019999999999999,0.0783,0.053099999999999994,0.0692,0.0553,0.0702,0.0588,0.045599999999999995,0.10210000000000001
1969-11-01,-0.035,-0.0492,-0.0417,-0.0154,-0.0192,-0.041299999999999996,-0.0394,-0.045700000000000005,-0.0346,-0.0287,-0.0092,-0.0339,-0.011200000000000002,-0.051699999999999996,-0.030299999999999997,-0.0322,-0.0467
1969-12-01,-0.0177,-0.021400000000000002,-0.0102,0.0062,-0.0356,-0.0361,-0.038599999999999995,-0.0043,-0.0206,0.0083,0.0053,-0.0216,-0.0429,-0.0275,-0.0451,-0.025699999999999997,-0.052199999999999996
1970-01-01,-0.0652,-0.0536,-0.08259999999999999,-0.0736,-0.0547,-0.0793,-0.1246,-0.08199999999999999,-0.0836,-0.0688,-0.0758,-0.0767,-0.042800000000000005,-0.06480000000000001,-0.0946,-0.1202,-0.1294
1970-02-01,0.04190000000000001,0.079,0.063,0.049100000000000005,0.061200000000000004,0.0783,0.0425,0.0721,0.0464,0.0546,0.0466,0.0674,0.057999999999999996,0.0753,0.0814,0.04769999999999999,0.037000000000000005
1970-03-01,0.025699999999999997,0.0085,0.012,-0.0181,-0.0023,-0.0125,-0.0479,0.0168,0.0031,-0.0187,-0.0178,-0.0161,0.0049,-0.0128,-0.0123,-0.045599999999999995,-0.050499999999999996
1970-04-01,-0.0868,-0.0909,-0.0723,-0.1035,-0.1027,-0.1292,-0.17679999999999998,-0.0762,-0.065,-0.0978,-0.1061,-0.1093,-0.0993,-0.1295,-0.12890000000000001,-0.1558,-0.2
1970-05-01,-0.0169,-0.0528,-0.0556,-0.0647,-0.0616,-0.07780000000000001,-0.1197,-0.0555,-0.0557,-0.0753,-0.059800000000000006,-0.0794,-0.0527,-0.0973,-0.056799999999999996,-0.1219,-0.11710000000000001
1970-06-01,-0.0292,-0.0414,-0.0393,-0.051,-0.0702,-0.0493,-0.09880000000000001,-0.0305,-0.0557,-0.019,-0.06559999999999999,-0.0429,-0.0836,-0.0542,-0.044199999999999996,-0.0861,-0.11349999999999999
1970-07-01,0.1015,0.0718,0.0707,0.049699999999999994,0.0766,0.0704,0.0767,0.07200000000000001,0.0673,0.0971,0.0207,0.0802,0.07339999999999999,0.051500000000000004,0.09390000000000001,0.0712,0.0862
1970-08-01,0.056600000000000004,0.0354,0.038599999999999995,0.051699999999999996,0.050300000000000004,0.0652,0.053200000000000004,0.0344,0.0501,0.0479,0.054299999999999994,0.047,0.053200000000000004,0.0717,0.0574,0.0553,0.049400000000000006
1970-09-01,0.0222,0.047599999999999996,0.013600000000000001,0.0681,0.054000000000000006,0.06570000000000001,0.0858,0.008,0.0282,0.051399999999999994,0.079,0.071,0.039,0.071,0.0592,0.0704,0.11230000000000001
1970-10-01,-0.0038,-0.0292,-0.006999999999999999,-0.0106,-0.0366,-0.031,-0.0329,-0.0095,-0.0006,-0.026600000000000002,-0.0004,-0.0208,-0.051,-0.0279,-0.0347,-0.026600000000000002,-0.0433
1970-11-01,0.0548,0.06480000000000001,0.0516,0.0538,0.048600000000000004,0.048499999999999995,0.0384,0.051500000000000004,0.051699999999999996,0.0748,0.0407,0.0449,0.052000000000000005,0.0441,0.053899999999999997,0.044500000000000005,0.0281
1970-12-01,0.056900000000000006,0.0575,0.0707,0.054000000000000006,0.0723,0.060899999999999996,0.0603,0.0782,0.0518,0.054900000000000004,0.0535,0.0638,0.0802,0.049800000000000004,0.0746,0.0558,0.0681
1971-01-01,0.0271,0.0636,0.0407,0.0393,0.0733,0.0617,0.0883,0.0431,0.0346,0.0552,0.0291,0.0825,0.065,0.0654,0.057300000000000004,0.0851,0.09369999999999999
1971-02-01,0.0276,0.021,-0.0032,0.028300000000000002,0.0262,0.012,0.0106,-0.0108,0.0166,0.0174,0.0355,0.0316,0.0212,0.0134,0.0104,0.0088,0.0138
1971-03-01,0.0339,0.0433,0.0329,0.0538,0.042,0.053200000000000004,0.057999999999999996,0.0242,0.0554,0.037000000000000005,0.0646,0.0594,0.026000000000000002,0.059000000000000004,0.0461,0.061500000000000006,0.052000000000000005
1971-04-01,0.0446,0.0097,0.0337,0.023700000000000002,0.0492,0.034300000000000004,0.0375,0.031200000000000002,0.0397,0.0384,0.014499999999999999,0.0559,0.042699999999999995,0.042699999999999995,0.0239,0.0336,0.044199999999999996
1971-05-01,-0.037000000000000005,-0.034300000000000004,-0.0352,-0.0513,-0.0253,-0.03,-0.039599999999999996,-0.0404,-0.022400000000000003,-0.0321,-0.0635,-0.0187,-0.0317,-0.0191,-0.0436,-0.0322,-0.0518
1971-06-01,0.0009,-0.0045000000000000005,0.005600000000000001,-0.0051,0.0026,0.0126,0.0084,0.0026,0.0128,0.0039000000000000003,-0.0111,0.021099999999999997,-0.015600000000000001,0.013600000000000001,0.011399999999999999,0.0144,-0.002
1971-07-01,-0.032400000000000005,-0.045599999999999995,-0.0379,-0.0541,-0.0346,-0.0319,-0.049800000000000004,-0.042800000000000005,-0.0319,-0.0649,-0.051500000000000004,-0.0331,-0.0358,-0.0409,-0.024399999999999998,-0.0381,-0.0603
1971-08-01,0.038,0.046900000000000004,0.0441,0.0588,0.046,0.027200000000000002,0.025699999999999997,0.0333,0.057300000000000004,0.056100000000000004,0.0594,0.042300000000000004,0.0493,0.058899999999999994,0.0009,0.0022,0.0471
1971-09-01,-0.008199999999999999,-0.020099999999999996,-0.0011,-0.006,-0.0013,0.0013,-0.0036,-0.0001,-0.0024,-0.016,-0.0036,0.0003,-0.0027,0.0034999999999999996,-0.0006,-0.0005,-0.0064
1971-10-01,-0.046900000000000004,-0.0358,-0.0405,-0.0335,-0.0487,-0.045,-0.0248,-0.0333,-0.0493,-0.0504,-0.029500000000000002,-0.0482,-0.049100000000000005,-0.0556,-0.035699999999999996,-0.0085,-0.0391
1971-11-01,0.0007000000000000001,-0.0169,0.006500000000000001,0.01,-0.0029,-0.011899999999999999,-0.0096,0.0108,0.0013,-0.0058,0.013600000000000001,0.0021,-0.0072,-0.0121,-0.011699999999999999,-0.0147,-0.0049
1971-12-01,0.098,0.0855,0.0754,0.0944,0.09630000000000001,0.0981,0.1033,0.08900000000000001,0.058499999999999996,0.1032,0.0925,0.09390000000000001,0.0983,0.10289999999999999,0.09390000000000001,0.0922,0.11320000000000001
1972-01-01,0.0256,0.0464,0.0134,0.0315,0.024900000000000002,0.0219,0.0377,0.0121,0.015,0.021,0.0339,0.0287,0.0217,0.0239,0.0203,0.0232,0.0504
1972-02-01,0.0181,0.0236,0.0383,0.0352,0.0478,0.0253,0.0208,0.0391,0.0373,0.0226,0.0381,0.0415,0.0533,0.0322,0.019299999999999998,0.001,0.037599999999999995
1972-03-01,-0.0089,0.0062,0.024900000000000002,0.032799999999999996,-0.003,-0.017,-0.013300000000000001,0.0138,0.0388,0.013000000000000001,0.037200000000000004,0.0154,-0.0189,-0.0005,-0.0317,-0.009399999999999999,-0.016399999999999998
1972-04-01,0.013500000000000002,-0.0075,0.0001,0.0079,0.0151,0.0096,0.0029,0.0069,-0.008100000000000001,0.0031,0.0089,0.011399999999999999,0.0184,0.012,0.0074,-0.0116,0.0147
1972-05-01,0.006999999999999999,0.005,0.0127,0.0291,0.0159,0.0194,0.011899999999999999,0.020099999999999996,0.0034999999999999996,0.015700000000000002,0.032,0.0025,0.0278,0.0062,0.0316,0.0028000000000000004,0.0192
1972-06-01,-0.02,-0.044000000000000004,-0.015300000000000001,-0.013500000000000002,-0.0213,-0.024399999999999998,-0.0275,-0.0068000000000000005,-0.026099999999999998,-0.0014000000000000002,-0.016,-0.0137,-0.0279,-0.0253,-0.0236,-0.029900000000000003,-0.025699999999999997
1972-07-01,-0.0189,-0.0246,0.0062,0.0066,0.0092,-0.0179,-0.026000000000000002,-0.0004,0.019299999999999998,0.0116,-0.004699999999999999,0.018500000000000003,-0.0113,-0.0016,-0.0349,-0.013600000000000001,-0.042300000000000004
1972-08-01,0.057699999999999994,0.0478,0.0352,0.0353,0.037200000000000004,0.026000000000000002,0.024300000000000002,0.0369,0.0318,0.0334,0.0395,0.0345,0.0436,0.0121,0.041100000000000005,0.0302,0.016399999999999998
1972-09-01,-0.012199999999999999,-0.013500000000000002,0.0102,-0.0024,-0.0137,-0.0207,-0.0168,0.0254,-0.0194,0.0040999999999999995,-0.0169,-0.0115,-0.0189,-0.0196,-0.0218,-0.015700000000000002,-0.0184
